MINE_ID|MINE_NAME|MINE_TYPE|MINE_STATUS|OPERATOR_NAME|OPERATOR_GROUP|CONTROLLER_NAME|STATE|COUNTY|LATITUDE|LONGITUDE|REGION_CODE|PRIMARY_SIC|PRIMARY_CANVASS|NO_EMPLOYEES|NEAREST_TOWN
2700541|Nordberg CT 80|Surface|Intermittent|Entire Equipment|OTHER|Frederick  Chancey|NH|Cheshire|43.184444|-71.845833|OTHER|Construction Sand and Gravel|SandAndGravel|1|Jaffrey
2700542|Portable Plant|Surface|Active|Errol Sand & Gravel, LLC|OTHER|Amy  Lane; Jonathan  Lane|NH|Coos|44.798611|-71.174444|OTHER|Construction Sand and Gravel|SandAndGravel|2|Errol
2700543|Partridge Pit|Surface|Intermittent|Fort Mountain Trucking Company Inc.|OTHER|Rachel  Eames; Jeffrey  Eames|NH|Rockingham|43.149722|-71.261111|OTHER|Construction Sand and Gravel|SandAndGravel|1|Deerfield
2700545|KPI 2650|Surface|Intermittent|Snook's Mobile Screening LLC|OTHER|Keith P  Snook|NH|Rockingham|42.974444|-71.114722|OTHER|Construction Sand and Gravel|SandAndGravel|2|Exeter
2700547|Lokotrack ST243 Ser #181540|Surface|Intermittent|Productive Power Excavating Inc.|OTHER|David A Keurulainen|NH|Hillsborough|42.771667|-71.87|OTHER|Construction Sand and Gravel|SandAndGravel|3|New Ipswich
2700548|EXIT 43 LITTLETON QUARRY|Surface|Intermittent|PRESBY CONSTRUCTION INC.|OTHER|Trevor  Presby; Thaddeus  Presby|NH|Grafton|44.323056|-71.800278|OTHER|Construction Sand and Gravel|SandAndGravel|2|Littleton
2700549|Weare Farm|Surface|Intermittent|Thibeault Corp. of NE|OTHER|Ernest J  Thibeault III|NH|Hillsborough|43.084908|-71.656921|OTHER|Construction Sand and Gravel|SandAndGravel|1|New Boston
2700550|Gilsum Pit|Surface|Intermittent|Gordon Gravel and Stone LLC|OTHER|Cody  Gordon|NH|Cheshire|42.831047|-72.023972|OTHER|Construction Sand and Gravel|SandAndGravel|1|Gilsum
2700551|LT 105|Surface|Intermittent|Entire Equipment|OTHER|Frederick  Chancey|NH|Merrimack|43.184444|-71.845833|OTHER|Construction Sand and Gravel|SandAndGravel|1|Henniker
2700552|Wilton Quarry|Surface|Active|Leighton A. White, Inc.|OTHER|Dale  White|NH|Hillsborough|42.865278|-71.771389|OTHER|Construction Sand and Gravel|SandAndGravel|3|Wilton
2700553|Loudon Sand and Gravel|Surface|Intermittent|Loudon Sand and Gravel|OTHER|Charles P  Morley; Peter  Scott|NH|Merrimack|43.199722|-71.478611|OTHER|Construction Sand and Gravel|SandAndGravel|8|Concord
2700554|Little Hill Pit|Surface|Intermittent|CSSI|OTHER|Constantine  Halvatzes|NH|Hillsborough|42.959722|-71.704722|OTHER|Construction Sand and Gravel|SandAndGravel|3|New Boston
2700558|Portable Plant # 2|Surface|Active|Jeremy Hiltz Excavating|OTHER|Jeremy J  Hiltz|NH|Belknap|43.596111|-71.628889|OTHER|Construction Sand and Gravel|SandAndGravel|4|New Hampton
2700559|Granite Hill Materials & Recycling LLC|Surface|Intermittent|Granite Hill Materials & Recycling LLC|OTHER|Dwight  Hill|NH|Rockingham|43.051631|-71.211646|OTHER|Construction Sand and Gravel|SandAndGravel|5|Raymond
2700560|Pike Industries Inc C1664|Surface|Intermittent|Pike Industries Inc|OTHER|CRH PLC|NH|Hillsborough|43.175556|-71.760833|OTHER|Construction Sand and Gravel|SandAndGravel|1|Henniker
2700561|Metso ST 2.8 Screener|Surface|Intermittent|Frank DeLucia & Son Inc.|OTHER|Rocci  DeLucia Sr|NH|Merrimack|43.062778|-71.441667|OTHER|Crushed, Broken Stone NEC|Stone|4|Hooksett
2700562|Metso Lokotrack LT106 Portable Jaw|Surface|Intermittent|Presby Construction Inc.|OTHER|Trevor  Presby; Thaddeus  Presby|NH|Grafton|44.228611|-71.751944|OTHER|Crushed, Broken Stone NEC|Stone|2|Franconia
